"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"COLr133","COL003",37701931665.9146,99356928830.9861,0.379459511374879
"COLr133","COL005",99245135563.6134,99356928830.9861,0.998874831693289
"DEUr101","DEU001",36026920213.7379,36071780723.6661,0.998756354440279
"DEUr102","DEU001",70466012653.3573,70531935146.2037,0.999065352556827
"DEUr103","DEU001",891862404.052137,891862404.052138,1
"DEUr104","DEU001",29638359917.9109,29654222163.0622,0.999465093197724
"DEUr105","DEU001",389485986.956327,399805436.855719,0.974188820490913
"DEUr106","DEU001",672294194.858209,736381030.379889,0.912970550737003
"DEUr107","DEU001",21115145951.044,21115145951.0444,0.999999999999982
"DEUr108","DEU001",22071930779.3091,23376542775.8611,0.944191405501625
"DEUr109","DEU001",47438903314.7351,47672270029.6861,0.995104770240526
"DEUr110","DEU001",34086437182.0758,34115672367.6548,0.999143057030683
"DEUr111","DEU001",19834793089.3369,19856381595.493,0.998912767361349
"DEUr112","DEU001",2560852433.13417,2571007689.35037,0.996050087186334
"DEUr113","DEU001",18401752564.594,18448851163.3704,0.997447071453969
"DEUr114","DEU001",20544571898.2671,20552381077.461,0.99962003530567
"DEUr115","DEU001",15163685774.375,15628667598.0232,0.970248146828142
"DEUr116","DEU001",16201007024.0211,16201007024.0212,0.999999999999994
"ECUr103","ECU003",41111306732.6418,115998959177.902,0.354410996650337
"ECUr104","ECU001",7988527235.66642,7988527235.6656,1.0000000000001
"ESPr101","ESP001",25953447904.4205,29606203965.7244,0.876621938241971
"ESPr102","ESP001",9737210114.28017,10602780217.8663,0.918363854970078
"ESPr103","ESP001",3932073118.70229,5309613138.75105,0.740557365659075
"ESPr104","ESP001",2698338298.90773,7233341371.97818,0.373041746565569
"ESPr108","ESP004",7841173231.55018,8028466643.65775,0.976671334587218
"ESPr110","ESP005",25178671311.7733,79458848160.8168,0.316876872677718
"ESPr111","ESP005",39416951007.58,41636774643.8481,0.946685984799352
"ESPr114","ESP003",5029748435.41291,5029748435.41301,0.999999999999981
"ESPr115","ESP006",26116068125.6756,87544502540.4054,0.298317625525623
"FJIr108","FJI001",2741699584.26815,2864924076.28145,0.956988566282274
"FJIr110","FJI001",978745670.39358,1298799824.60204,0.753576996126769
"FRAr110","FRA001",8318330085.43743,8329940870.55646,0.998606138350865
"FRAr111","FRA001",16287432110.1936,16306887122.4135,0.998806945061075
"FRAr118","FRA001",24768281631.871,45038882423.1991,0.549931088412467
"FRAr121","FRA001",22997364840.7668,31941567749.7169,0.719982344666556
"FRAr127","FRA002",82882968661.7452,83300943271.2141,0.99498235442415
"GABr105","GAB001",8455606141.83824,21815745778.8914,0.38759189016677
"GABr106","GAB002",35372909738.8042,43483542030.9004,0.813478113481817
"GABr108","GAB001",10446813263.5956,22899872970.9114,0.456195249504905
"GABr109","GAB002",22874503266.5524,37514252967.7697,0.609754998618924
"GBRr106","GBR001",6962876259.98015,20102808878.2131,0.346363351617313
"GEOr102","GEO003",2724693196.74234,2844410233.74959,0.957911472970115
"GEOr103","GEO003",613291347.20926,1926847619.62401,0.318287414616073
"GEOr104","GEO001",3371655704.50147,11463752209.7386,0.29411449609293
"GEOr105","GEO005",4180763545.31768,11531591686.3781,0.362548697440985
"GEOr107","GEO004",2755412606.60277,7010638937.13078,0.393033021856132
"GEOr108","GEO001",4241660130.49664,7622001804.78984,0.556502115734358
